"Product","Reference","BoM Lines/Component","BoM Lines/Component/Unit of Measure","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","BoM Lines/Operations","BoM Lines/Operations/Duration"
"[4022-470-85441] 1/2TE Compens Guide 160mm","[4022-470-85441] 1/2TE Compens Guide 160mm","[5601-0000-0016] ALU 6082 T6 plat 25x15","mm","146.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","10.0"
"","","","","","","Milling (FR4-01)","15.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-481-55761] Temp Sensor Block","[4022-481-55761] Temp Sensor Block","[5601-0000-0007] ALU 6082 T6 vk 30","mm","272.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","12.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-481-65971/20] UPPER CABLE CLAMP","[4022-481-65971/20] UPPER CABLE CLAMP","[5601-0000-0009] ALU 6082 T6 vk 50","mm","103.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","17.0"
"","","","","","","Milling (FR4-01)","7.0"
"","","","","","","BW - Benchwork (BKW_01)","4.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-484-40911] Al fcp anti loss screw plate","[4022-484-40911] Al fcp anti loss screw plate","","","","","",""
"[4022-484-40921] Al fcp switch holder","[4022-484-40921] Al fcp switch holder","[5601-0000-0113] ALU 6082 T6 plat 50x25","mm","121.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","20.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","4.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-486-33041] Connector Block","[4022-486-33041] Connector Block","[5602-0000-0025] RVS 316L wgw plat 40x15","mm","23.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","Milling (FR4-01)","9.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-486-73851/40] Cable Clamp Base (M5)","[4022-486-73851/40] Cable Clamp Base (M5)","[5601-0000-0009] ALU 6082 T6 vk 50","mm","103.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","23.0"
"","","","","","","Milling (FR5_02)","7.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-510-76650P19] Block POS. 19","[4022-510-76650P19] Block POS. 19","[5603-0000-0023] STAAL S355J2G3 wgw vk 90","mm","103.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","10.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-621-9185] Ynozzle Ducting V2 Cover","[4022-621-9185] Ynozzle Ducting V2 Cover","[5602-0000-0033] RVS 316L wgw plat 60x25","mm","53.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","29.0"
"","","","","","","Milling (FR5_01)","26.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-630-67632] HINGE BLOCK BACK","[4022-630-67632] HINGE BLOCK BACK","[5602-0000-0003] RVS 304/304L wgw plat 40x30","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","25.0"
"","","","","","","Milling (FR5_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-2166-Pos4] Pos 4","[4022-631-2166-Pos4] Pos 4","[5603-0000-0017] STAAL s235jr wgw plat 100x30","Pcs","0.0","Pcs","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_02)","19.0"
"","","","","","","Milling (FR3_02)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-42881] Interface y-equilizer 2","[4022-631-42881] Interface y-equilizer 2","[5602-0000-0011] RVS 304/304L wgw vk 50","mm","32.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","26.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-47801] Interface (FIXED)","[4022-631-47801] Interface (FIXED)","[5602-0000-0038] RVS 304/304L wgw plat 50x40","mm","157.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_02)","30.0"
"","","","","","","Milling (FR5_02)","7.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-54801] INTERFACE (ADJUSTABLE)","[4022-631-54801] INTERFACE (ADJUSTABLE)","[5602-0000-0015] RVS 304/304L wgw plat 80x30","mm","138.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_02)","50.0"
"","","","","","","Milling (FR5_02)","15.0"
"","","","","","","Milling (FR5_02)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-75141] Hinge block back lm2","[4022-631-75141] Hinge block back lm2","[5602-0000-0018] RVS 304/304L wgw plat 50x20","mm","62.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","15.0"
"","","","","","","Milling (FR4-01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-80291] Hinge block LR","[4022-631-80291] Hinge block LR","[5602-0000-0005] RVS 304/304L wgw plat 70x30","mm","54.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_02)","25.0"
"","","","","","","Milling (FR4-02)","10.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-80301] Hinge Block LR2 (fixed)","[4022-631-80301] Hinge Block LR2 (fixed)","[5602-0000-0005] RVS 304/304L wgw plat 70x30","mm","54.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","25.0"
"","","","","","","Milling (FR3_01)","6.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-80961] Hinge block (fixed) rm2","[4022-631-80961] Hinge block (fixed) rm2","[5602-0000-0003] RVS 304/304L wgw plat 40x30","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","30.0"
"","","","","","","Milling (FR3_01)","15.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-89301] Hinge Block LM2","[4022-631-89301] Hinge Block LM2","[5602-0000-0010] RVS 304/304L wgw plat 40x20","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","25.0"
"","","","","","","Milling (FR5_02)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-89311] HINGE BLOCK (FIXED) LM2","[4022-631-89311] HINGE BLOCK (FIXED) LM2","[5602-0000-0005] RVS 304/304L wgw plat 70x30","mm","54.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","30.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-97451] Hinge Block Back LM2","[4022-631-9745] Hinge Block Back LM2","[5602-0000-0010] RVS 304/304L wgw plat 40x20","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","12.0"
"","","","","","","Milling (FR4-01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-631-99701] LCW ABS PRES SENS CONN BLOCK","[4022-631-99701] LCW ABS PRES SENS CONN BLOCK","[5602-0000-0011] RVS 304/304L wgw vk 50","mm","44.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","38.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-635-17942] CA MOUNTING BLOCK","[4022-635-17942] CA MOUNTING BLOCK","[5602-0000-0006] RVS 304/304L wgw plat 25x12","mm","83.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","8.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-635-68104] IH serv mech hinge bracket low","[4022-635-68104] IH serv mech hinge bracket low","[5602-0000-0039] RVS 304/304L wgw rond 100","mm","268.0","mm","Material prep (ZGN_01)","2.0"
"","","","","","","Milling (FR3_01)","12.0"
"","","","","","","Milling (FR5_02)","120.0"
"","","","","","","Milling (FR5_02)","60.0"
"","","","","","","BW - Benchwork (BKW_01)","10.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-635-87282] LOCKING PLATE","[4022-635-87282] LOCKING PLATE","[5603-0000-0008] STAAL S235JRC+C blank plat 25x20","mm","100.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","4.0"
"","","","","","","Milling (FR3_02)","1.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Nickel plating","4500.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Cleaning","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-635-87291] HANDLE","[4022-635-87291] HANDLE","[5602-0000-0001] RVS 304/304L blank plat 25x12","mm","37.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","8.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-635-99171] Hinge block fixed 7c-e rr","[4022-635-99171] Hinge block 7c-e rr","[5602-0000-0005] RVS 304/304L wgw plat 70x30","mm","54.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR5_01)","60.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-637-11821] HINGE BLOCK LF","[4022-637-11821] HINGE BLOCK LF","[5602-0000-0009] RVS 304/304L wgw plat 100x20","mm","50.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","20.0"
"","","","","","","Milling (FR3_01)","7.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-637-24142] HINGE BLOCK FIXED RF","[4022-637-24142] HINGE BLOCK FIXED RF","[5602-0000-0003] RVS 304/304L wgw plat 40x30","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_02)","30.0"
"","","","","","","Milling (FR4-02)","10.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-637-24191] HINGE BLOCK RF","[4022-637-24191] HINGE BLOCK RF","[5602-0000-0009] RVS 304/304L wgw plat 100x20","mm","50.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","25.0"
"","","","","","","Milling (FR5_01)","6.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-637-29291] Hinge Block rm","[4022-637-29291] Hinge Block rm","[5602-0000-0010] RVS 304/304L wgw plat 40x20","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","15.0"
"","","","","","","Milling (FR3_01)","7.0"
"","","","","","","BW - Benchwork (BKW_01)","4.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-637-29301] Hinge Block Fixed RM","[4022-637-29301] Hinge Block Fixed RM","[5602-0000-0003] RVS 304/304L wgw plat 40x30","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","20.0"
"","","","","","","Milling (FR4-02)","5.0"
"","","","","","","Milling (FR4-02)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-637-29381] Hinge Block LM","[4022-637-29381] Hinge Block LM","[5602-0000-0010] RVS 304/304L wgw plat 40x20","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","20.0"
"","","","","","","Milling (FR3_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-637-29391] Hinge block fixed LM","[4022-637-29391] Hinge block fixed LM","[5602-0000-0003] RVS 304/304L wgw plat 40x30","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","30.0"
"","","","","","","Milling (FR4-02)","5.0"
"","","","","","","Milling (FR4-02)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-637-32081] IH SERVE MECH HINGE BRACKET","[4022-637-32081] IH SERVE MECH HINGE BRACKET","","","","","",""
"[4022-637-45782] Interface hinge block fixed RF","[4022-637-45782] Interface hinge block fixed RF","[5601-0000-0002] ALU 5083 gzgd plaat 160x80x30","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR5_02)","30.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Nickel plating","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-637-68442] IH HINGE BRACKET TOP HINGE","[4022-637-68442] IH HINGE BRACKET TOP HINGE","[5603-0000-0011] STAAL S355J2C+C ngl plat 60x40","mm","51.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","8.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-639-54042] YS gripper detect mirro block","[4022-639-54042] YS gripper detect mirro block","[5602-0000-0015] RVS 304/304L wgw plat 80x30","mm","138.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_02)","17.0"
"","","","","","","Milling (FR5_02)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-642-33571] Support beam LM","[4022-642-33571] Support beam LM","[5601-0000-0003] ALU 5083 gzgd plaat 465x165x15","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_02)","3.0"
"","","","","","","Milling (FR3_02)","30.0"
"","","","","","","Milling (FR3_02)","14.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Nickel plating","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-646-17071] NXE wsmr 2 Fan guide rail","[4022-646-17071] NXE wsmr 2 Fan guide rail","[5601-0000-0008] ALU 6082 T6 plat 40x20","mm","155.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","10.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-646-17131] Divider plate 6HE Special","[4022-646-1713-1] Divider plate 6HE Special","[5601-0000-0008] ALU 6082 T6 plat 40x20","mm","155.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","18.0"
"","","","","","","Milling (FR3_01)","10.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-651-14271] NXT WS MK41 DC TEMP CONN PLATE","[4022-651-14271] NXT WS MK41 DC TEMP CONN PLATE","[5602-0000-0025] RVS 316L wgw plat 40x15","mm","11.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","12.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"","","","","","","Cleaning","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-651-55002A] Gpas preamp CB Box + cover assy","[4022-651-55002A] Gpas preamp CB Box + cover assy","[5602-0000-0023] RVS 316L wgw vk 80","mm","58.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","60.0"
"","","","","","","Milling (FR5_02)","35.0"
"","","","","","","BW - Benchwork (BKW_01)","4.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-656-73531] Pipe clamp exhaust FW 1980","[4022-656-73531] Pipe clamp exhaust FW 1980","[5602-0000-0013] RVS 304/304L blank plat 50x8","mm","33.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-656-74553] Assy support guide FW 1980","[4022-656-74553] Assy support guide FW 1980","","","","","",""
"[4022-656-75183] Non loosable block M4","[4022-656-75183] Non loosable block M4","[5602-0000-0008] RVS 304/304L wgw plat 35x20","mm","63.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","7.0"
"","","","","","","Milling (FR4-01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-656-75212] Non loosable block M5","[4022-656-75212] Non loosable block M5","[5602-0000-0008] RVS 304/304L wgw plat 35x20","mm","57.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","5.0"
"","","","","","","Milling (FR4-01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-656-92231] Exhaust fw bridge 1980","[4022-656-92231] Exhaust fw bridge 1980","[5601-0000-0015] ALU 6082 T6 plat 80x10","mm","140.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_02)","8.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-659-99092] YS ML Guardrail Park Block","[4022-659-99092] YS ML Guardrail Park Block","","","","","",""
"[4022-659-99111] YS ML Park Block Handle","[4022-659-99111] YS ML Park Block Handle","","","","","",""
"[4022-664-3390-1] NXE HP SL SLEC EOM CP ARM BACK","[4022-664-3390-1] NXE HP SL SLEC EOM CP ARM BACK","[5602-0000-0007] RVS 304/304L wgw plat 30x15","mm","48.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","12.0"
"","","","","","","Milling (FR4-01)","11.0"
"","","","","","","BW - Benchwork (BKW_01)","4.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-666-18121] Distance Bush 1","[4022-666-18121] Distance Bush 1","[5602-0000-0017] RVS 304/304L blank vk 10","mm","16.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","9.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-666-3837-1] LSPH Bellow Clamp","[4022-666-3837-1] LSPH Bellow Clamp","[5990-0000-0017] LSPH Bellow Clamp cutout","Pcs","1.0","Pcs","Milling (FR3_01)","5.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-666-65702(R1)] LSPH coverplate stud block","[4022-666-65702(R1)] LSPH coverplate stud block","[5601-0000-0009] ALU 6082 T6 vk 50","mm","3.6667","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","13.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-671-49051] Bpam cover","[4022-671-49051] Bpam cover","[5601-0000-0150] ALU 6082 T6 plat 120x20 ","mm","110.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Milling (FR3_02)","13.0"
"","","","","","","Milling (FR3_02)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-671-49061] Bpam front 1","[4022-671-49061] Bpam front 1","[5601-0000-0008] ALU 6082 T6 plat 40x20","mm","106.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","10.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-671-49073] Bpam front 2","[4022-671-49073] Bpam front 2","[5601-0000-0008] ALU 6082 T6 plat 40x20","mm","155.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","16.0"
"","","","","","","Milling (FR3_02)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-673-67281] Serv Mech Hinge Bracket Low","[4022-673-67281] Serv Mech Hinge Bracket Low","[5603-0000-0016] STAAL S235JR rond Ø100","mm","263.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","120.0"
"","","","","","","Milling (FR5_01)","0.0"
"","","","","","","Milling (FR5_01)","0.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Nickel plating","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-673-68701] AR Hinge Bracket Bottom Hinge","[4022-673-68701] AR Hinge Bracket Bottom Hinge","[5603-0000-0010] STAAL S355J2C+C ngl plat 100x50","mm","152.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR5_02)","50.0"
"","","","","","","Milling (FR3_01)","10.0"
"","","","","","","BW - Benchwork (BKW_01)","10.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-674-35671] MBI WS LTT SSXY MAN PLUG","[4022-674-3567] MBI WS LTT SSXY MAN PLUG","[5601-0000-0113] ALU 6082 T6 plat 50x25","mm","121.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","9.0"
"","","","","","","Milling (FR3_01)","8.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
