ResourceID,Day,ShiftNo,JobID,SchStart,SchCompletion
__export__.mrp_workcenter_63_98a7a00b,2025-11-24,1,5,9.0,9.7
__export__.mrp_workcenter_63_98a7a00b,2025-11-24,1,15,9.7,17.0
__export__.mrp_workcenter_63_98a7a00b,2025-11-24,2,15,17.0,22.633333333333333
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,1,22,9.666666666666666,15.166666666666666
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,1,27,15.166666666666666,17.0
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,2,27,17.0,19.333333333333332
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,2,32,19.333333333333332,23.5
__export__.mrp_workcenter_54_3f0243e1,2025-11-26,1,8,57.0,64.16666666666667
__export__.mrp_workcenter_54_3f0243e1,2025-12-08,1,13,345.0,353.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-08,2,13,353.0,361.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-09,1,13,369.0,377.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-09,2,13,377.0,385.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-10,1,13,393.0,401.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-10,2,13,401.0,409.0
__export__.mrp_workcenter_54_3f0243e1,2025-12-11,1,13,417.0,421.23333333333335
__export__.mrp_workcenter_66_9f807a30,2025-11-24,1,21,15.166666666666666,16.5
__export__.mrp_workcenter_66_9f807a30,2025-11-24,2,26,19.333333333333332,20.666666666666664
__export__.mrp_workcenter_66_9f807a30,2025-11-24,2,31,23.5,24.833333333333332
__export__.mrp_workcenter_66_9f807a30,2025-11-26,2,7,65.0,70.66666666666667
__export__.mrp_workcenter_66_9f807a30,2025-11-28,1,2,105.0,106.8
__export__.mrp_workcenter_68_8bff6631,2025-11-24,2,19,17.666666666666668,25.0
__export__.mrp_workcenter_68_8bff6631,2025-11-24,2,24,21.333333333333332,25.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,1,19,33.0,41.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,1,24,33.0,41.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,1,29,33.666666666666664,41.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,2,19,41.0,49.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,2,24,41.0,49.0
__export__.mrp_workcenter_68_8bff6631,2025-11-25,2,29,41.0,49.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,1,19,57.0,65.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,1,24,57.0,65.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,1,29,57.0,65.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,2,19,65.0,73.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,2,24,65.0,73.0
__export__.mrp_workcenter_68_8bff6631,2025-11-26,2,29,65.0,73.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,1,19,81.0,89.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,1,24,81.0,89.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,1,29,81.0,89.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,2,19,89.0,97.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,2,24,89.0,97.0
__export__.mrp_workcenter_68_8bff6631,2025-11-27,2,29,89.0,97.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,1,19,105.0,113.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,1,24,105.0,113.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,1,29,105.0,113.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,2,19,113.0,121.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,2,24,113.0,121.0
__export__.mrp_workcenter_68_8bff6631,2025-11-28,2,29,113.0,121.0
__export__.mrp_workcenter_68_8bff6631,2025-11-29,1,19,129.0,132.66666666666669
__export__.mrp_workcenter_68_8bff6631,2025-11-29,1,24,129.0,136.33333333333331
__export__.mrp_workcenter_68_8bff6631,2025-11-29,1,29,129.0,137.0
__export__.mrp_workcenter_68_8bff6631,2025-11-29,2,29,137.0,140.66666666666666
__export__.mrp_workcenter_68_8bff6631,2025-12-01,1,16,178.23333333333335,185.0
__export__.mrp_workcenter_68_8bff6631,2025-12-01,2,16,185.0,193.0
__export__.mrp_workcenter_68_8bff6631,2025-12-02,1,16,201.0,209.0
__export__.mrp_workcenter_68_8bff6631,2025-12-02,2,16,209.0,217.0
__export__.mrp_workcenter_68_8bff6631,2025-12-03,1,16,225.0,231.73333333333335
__export__.mrp_workcenter_67_d1ac8ce6,2025-11-24,2,20,17.0,17.666666666666668
__export__.mrp_workcenter_67_d1ac8ce6,2025-11-24,2,25,20.666666666666664,21.333333333333332
__export__.mrp_workcenter_67_d1ac8ce6,2025-11-25,1,30,33.0,33.666666666666664
__export__.mrp_workcenter_67_d1ac8ce6,2025-11-26,2,6,70.66666666666667,71.80000000000001
__export__.mrp_workcenter_67_d1ac8ce6,2025-11-28,1,1,106.8,107.25
__export__.mrp_workcenter_64_95992ef5,2025-11-24,1,23,9.0,9.666666666666666
__export__.mrp_workcenter_64_95992ef5,2025-11-24,1,28,9.666666666666666,10.333333333333332
__export__.mrp_workcenter_64_95992ef5,2025-11-24,1,33,10.333333333333332,10.999999999999998
__export__.mrp_workcenter_59_d6deab7b,2025-11-24,1,9,9.0,17.0
__export__.mrp_workcenter_59_d6deab7b,2025-11-24,2,9,17.0,25.0
__export__.mrp_workcenter_59_d6deab7b,2025-11-25,3,9,25.0,33.0
__export__.mrp_workcenter_59_d6deab7b,2025-11-25,1,9,33.0,41.0
__export__.mrp_workcenter_59_d6deab7b,2025-11-25,2,9,41.0,49.0
__export__.mrp_workcenter_59_d6deab7b,2025-11-26,3,9,49.0,51.29999999999999
__export__.mrp_workcenter_59_d6deab7b,2025-11-26,1,4,57.0,65.0
__export__.mrp_workcenter_59_d6deab7b,2025-11-26,2,4,65.0,73.0
__export__.mrp_workcenter_59_d6deab7b,2025-11-27,3,4,73.0,81.0
__export__.mrp_workcenter_59_d6deab7b,2025-11-27,1,4,81.0,85.5
__export__.mrp_workcenter_58_a525d5b9,2025-11-27,1,3,85.5,89.0
__export__.mrp_workcenter_58_a525d5b9,2025-11-27,2,3,89.0,97.0
__export__.mrp_workcenter_58_a525d5b9,2025-11-28,3,3,97.0,102.75
__export__.mrp_workcenter_57_6faf5319,2025-11-24,2,14,22.633333333333333,25.0
__export__.mrp_workcenter_57_6faf5319,2025-11-25,3,14,25.0,33.0
__export__.mrp_workcenter_57_6faf5319,2025-11-25,1,14,33.0,41.0
__export__.mrp_workcenter_57_6faf5319,2025-11-25,2,14,41.0,49.0
__export__.mrp_workcenter_57_6faf5319,2025-11-26,3,14,49.0,57.0
__export__.mrp_workcenter_57_6faf5319,2025-11-26,1,14,57.0,65.0
__export__.mrp_workcenter_57_6faf5319,2025-11-26,2,14,65.0,73.0
__export__.mrp_workcenter_57_6faf5319,2025-11-27,3,14,73.0,81.0
__export__.mrp_workcenter_57_6faf5319,2025-11-27,1,14,81.0,89.0
__export__.mrp_workcenter_57_6faf5319,2025-11-27,2,14,89.0,97.0
__export__.mrp_workcenter_57_6faf5319,2025-11-28,3,14,97.0,105.0
__export__.mrp_workcenter_57_6faf5319,2025-11-28,1,14,105.0,113.0
__export__.mrp_workcenter_57_6faf5319,2025-11-28,2,14,113.0,121.0
__export__.mrp_workcenter_57_6faf5319,2025-11-29,3,14,121.0,129.0
__export__.mrp_workcenter_57_6faf5319,2025-11-29,1,14,129.0,137.0
__export__.mrp_workcenter_57_6faf5319,2025-11-29,2,14,137.0,145.0
__export__.mrp_workcenter_57_6faf5319,2025-11-30,3,14,145.0,153.0
__export__.mrp_workcenter_57_6faf5319,2025-11-30,1,14,153.0,161.0
__export__.mrp_workcenter_57_6faf5319,2025-11-30,2,14,161.0,169.0
__export__.mrp_workcenter_57_6faf5319,2025-12-01,3,14,169.0,177.0
__export__.mrp_workcenter_57_6faf5319,2025-12-01,1,14,177.0,185.0
__export__.mrp_workcenter_57_6faf5319,2025-12-01,2,14,185.0,193.0
__export__.mrp_workcenter_57_6faf5319,2025-12-02,3,14,193.0,201.0
__export__.mrp_workcenter_57_6faf5319,2025-12-02,1,14,201.0,209.0
__export__.mrp_workcenter_57_6faf5319,2025-12-02,2,14,209.0,217.0
__export__.mrp_workcenter_57_6faf5319,2025-12-03,3,14,217.0,225.0
__export__.mrp_workcenter_57_6faf5319,2025-12-03,1,14,225.0,233.0
__export__.mrp_workcenter_57_6faf5319,2025-12-03,2,14,233.0,241.0
__export__.mrp_workcenter_57_6faf5319,2025-12-04,3,14,241.0,249.0
__export__.mrp_workcenter_57_6faf5319,2025-12-04,1,14,249.0,257.0
__export__.mrp_workcenter_57_6faf5319,2025-12-04,2,14,257.0,265.0
__export__.mrp_workcenter_57_6faf5319,2025-12-05,3,14,265.0,273.0
__export__.mrp_workcenter_57_6faf5319,2025-12-05,1,14,273.0,281.0
__export__.mrp_workcenter_57_6faf5319,2025-12-05,2,14,281.0,289.0
__export__.mrp_workcenter_57_6faf5319,2025-12-06,3,14,289.0,297.0
__export__.mrp_workcenter_57_6faf5319,2025-12-06,1,14,297.0,305.0
__export__.mrp_workcenter_57_6faf5319,2025-12-06,2,14,305.0,313.0
__export__.mrp_workcenter_57_6faf5319,2025-12-07,3,14,313.0,321.0
__export__.mrp_workcenter_57_6faf5319,2025-12-07,1,14,321.0,329.0
__export__.mrp_workcenter_57_6faf5319,2025-12-07,2,14,329.0,337.0
__export__.mrp_workcenter_57_6faf5319,2025-12-08,3,14,337.0,341.21666666666664
__export__.mrp_workcenter_65_c1e1b939,2025-11-24,1,18,9.0,9.233333333333333
__export__.mrp_workcenter_61_bcb50df3,2025-11-24,1,17,9.233333333333333,17.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-24,2,17,17.0,25.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-25,1,17,33.0,41.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-25,2,17,41.0,49.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-26,1,17,57.0,65.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-26,2,17,65.0,73.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-27,1,17,81.0,89.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-27,2,17,89.0,97.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-28,1,17,105.0,113.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-28,2,17,113.0,121.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-29,1,17,129.0,137.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-29,2,17,137.0,145.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-30,1,17,153.0,161.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-30,2,17,161.0,169.0
__export__.mrp_workcenter_61_bcb50df3,2025-12-01,1,17,177.0,178.23333333333335
