ResourceID,ResourceType,Name,ProcessType,DailyCapacity,Automated,Alternatives,OperatingEffort,AvailableShifts
0,Operator,Operator 1,Metal forming,1,False,,0,1
1,Operator,Operator 2,Metal forming,1,False,,0,1
2,Operator,Operator 3,Metal forming,1,False,,0,2
3,Operator,Manual worker 1,Benchwork,2,False,,0,1
30,Operator,Manual worker 2,Benchwork,2,False,,0,1
4,Machine,M5-05_(UMC750SS),Metal forming,2,False,M5-03~M5-04,0.3,1_2
6,Manual,MP2_(ZGN_02),Preparation,2,False,,0,1_2
7,Machine,M3-01_(FR3_01),Metal forming,2,False,,0.3,1_2
8,Manual,BW_(BKW_01),Benchwork,2,False,,0,1_2
9,Manual,PACK_(VERP_P),Packaging,2,False,,0,1_2
10,Outsourced,OUT_Outsourced activity,External,1250,False,,0,1_2
11,Manual,MP1_(ZGN_01),Preparation,2,False,,0,1_2
12,Machine,M5-01_(FR5_01),Metal forming,3,True,,0.1,1_2_3
13,Machine,M4-01_(FR4_01),Metal forming,3,True,FR4_02,0.1,1_2_3
14,Machine,M5-03_(UMC750),Metal forming,2,False,M5-04~M5-05,0.3,1_2
15,Machine,M3-02_(FR3_02),Metal forming,2,False,M3-03,0.3,1_2
18,Manual,MP3_(UITG_M),Preparation,2,False,,0.3,1_2
19,Machine,M4-02_(FR4_02),Metal forming,3,True,FR4_01,0.1,1_2_3
24,Machine,M3-03_(VF2SS),Metal forming,2,False,M5-03~M5-04~M5-05,0.3,1_2
25,Machine,M5-02_(FR5_02),Metal forming,3,True,,0.1,1_2_3
29,Machine,M5-04_(UMC750SS),Metal forming,3,True,M5-03~M5-05,0.1,1_2_3