OrderID,ProductID,ProductName,Name,Quantity,Deadline
0,13, geleideblok spanrol,S02854(00236-05-103-C),125,2025-04-23
1,23, Arret lever,S02854(00429-00-662-B),100,2025-04-30
2,368, [Q] excenter housing z,S02854(1508130 B),50,2025-05-20
3,94, Hinge block fixed LM,S02854(4022-637-29391),36,2025-06-04
4,187, bracket,S02849(BD50-5085-013-C),50,2025-05-14
5,107, Non loosable block M5,S02847(4022-656-75212),40,2025-04-04
6,106, Non loosable block M4,S02845(4022-656-75183),40,2025-04-04
7,5, bracket,S02842(BD50-5085-011-C),50,2025-05-14
8,3, bracket,S02840(BD50-5085-007-C),73,2025-05-28
9,4, bracket,S02838(BD50-5085-009-C),73,2025-05-21
10,2, bracket,S02836(BD50-5075-015F),50,2025-05-28
11,1, bracket,S02834(BD50-5075-013F),50,2025-05-21
12,46, BRIL,S02832(4022-333-19505),100,2025-06-27
13,156, Carriage,S02829(GF3116T006L),60,2025-04-25
14,38," fixing block, actuator",S02818(1202211B),10,2025-05-16
15,92, Hinge Block Fixed RM,S02818(4022-637-29301),52,2025-06-11
16,93, Hinge Block LM,S02818(4022-637-29381),65,2025-04-22
17,361, C beam v01-03 / 07201507,S02814(7005-2540-0001),34,2025-04-01
18,14, Height bearing clamp plate,S02812(00385-00-102-C),150,2025-05-02
19,17, Plint adjust strip,S02812(00385-00-320-A),150,2025-04-23
20,18, Plint fixing strip left,S02812(00385-00-321-A),100,2025-05-07
21,19, End plate finger safety hinge,S02812(00385-00-329-A),275,2025-05-02
22,20, Plint fixing strip right,S02812(00385-00-346-A),100,2025-05-07
23,42, Excenter housing z,S02812(4022-290-63221-D),82,2025-04-14
24,114, LSPH coverplate stud block,S02812(4022-666-65702(R1)),75,2025-05-26
25,163, nul-graden arretsegment,S02812(M0216-01-363-B),25,2025-05-21
26,355, gearbox side cover,S02807(10005158B),2,2025-03-27
27,356, bearing block small,S02807(10007537A),2,2025-03-27
28,297, TL 1 â€“ Feet B / IAH ,S02798(7007-2500-0001),1,2025-04-01
29,362, NXE RH Gripper LVL Tool Base,S02793(4022.644.3272),1,2025-05-01
30,363, NXE NH Gripper LVL Tool Cover,S02793(4022.644.9779),1,2025-05-01
31,364, RMFT Y-actuator power plug,S02779(10007433A),9,2025-04-14
32,56, POST 2,S02777(4022-455-09992),12,2025-04-11
33,211, INTERFACE (ADJUSTABLE),S02775(4022-631-54801),10,2025-05-02
34,59, post 7,S02773(4022-455-09997-3),10,2025-04-11
35,73, Interface (FIXED),S02771(4022-631-47801),12,2025-04-11
36,55, Sensorblock,S02759(4022-455-01702),10,2025-05-28
37,77, Hinge Block LR2 (fixed),S02757(4022-631-80301),40,2025-04-18
38,33, Cord Bracket,S02755(1011113A),150,2025-05-09
39,35, Block cooling water TMP,S02753(1082700B),25,2025-05-15
40,358, HALFFAB_M_BLOCK_RH_RIGHT,S02748(104009581),1,2025-04-01
41,359, HALFFAB_M_MOUNTING_BLCK_FRNT_R,S02748(104009583),1,2025-04-01
42,360, HALFFAB_M_MOUNTING_BLCK_FRNT_L,S02748(104009584),1,2025-04-01
43,357, HALFFAB_M_BLOCK_RH_LEFT,S02748(104009586),1,2025-04-01
44,348, 02200903 encoder scale mount bracket V01-01 electropolished / 02200903 V01-01,S02723(7005-2400-0100),42,2025-04-01
45,342, P1464-M2060-01.stp,S02739(7314593),2,2025-03-12
46,82, LCW ABS PRES SENS CONN BLOCK,S02737(4022-631-99701),20,2025-04-11
47,155, bracket,S02735(BD50-5075-009-E),24,2025-04-04
48,15, Tensioner plate,S02731(00385-00-113A),200,2025-04-09
49,22, Plint adjust strip,S02731(00429-00-249-A),200,2025-04-29
50,23, Arret lever,S02731(00429-00-662-B),100,2025-04-09
51,1, bracket,S02729(BD50-5075-013F),16,2025-04-04
52,2, bracket,S02722(BD50-5075-015F),24,2025-04-16
53,335, P1464-M1022-00.stp,S02717(7308680),6,2025-03-11
54,334, P1464-M1012-00.stp,S02715(7302598),6,2025-03-07
55,330, P1464-M2068-00.stp,S02713(7289337),2,2025-03-10
56,331, P1464-M3030-00.stp,S02713(7290605),14,2025-03-10
57,332, P1464-M3055-00.stp,S02713(7291692),12,2025-03-10
58,333, P1464-M3201-00.stp,S02713(7292240),4,2025-03-10
59,323, P1464-M2066-00.stp,S02711(7282747),1,2025-03-12
60,324, P1464-M3103-00.stp,S02711(7283800),4,2025-03-12
61,325, P1464-M3105-00.stp,S02711(7284774),6,2025-03-12
62,326, P1464-M3203-00.stp,S02711(7285159),8,2025-03-12
63,327, P1464-M3204-00.stp,S02711(7286825),8,2025-03-12
64,328, P1464-M4001-00.stp,S02711(7287806),2,2025-03-12
65,329, P1464-M4011-00.stp,S02711(7288826),7,2025-03-12
66,314, P1464-M2020-00.stp,S02709(7271654),2,2025-03-12
67,315, P1464-M2025-00.stp,S02709(7272248),4,2025-03-12
68,316, P1464-M2029-00.stp,S02709(7273889),1,2025-03-12
69,317, P1464-M2031-00.stp,S02709(7274976),1,2025-03-12
70,318, P1464-M2045-00.stp,S02709(7275100),1,2025-03-12
71,319, P1464-M2054-00.stp,S02709(7276589),1,2025-03-12
72,320, P1464-M2055-00.stp,S02709(7277682),1,2025-03-12
73,321, P1464-M2057-00.stp,S02709(7278476),1,2025-03-12
74,322, P1464-M2059-00.stp,S02709(7279297),2,2025-03-12
75,304, P1464-M1011-00.stp,S02707(7261698),6,2025-03-10
76,305, P1464-M1024-00.stp,S02707(7262299),3,2025-03-10
77,306, P1464-M1027-00.stp,S02707(7263714),2,2025-03-10
78,307, P1464-M2001-00.stp,S02707(7264118),2,2025-03-10
79,308, P1464-M2003-00.stp,S02707(7265172),4,2025-03-10
80,309, P1464-M2010-00.stp,S02707(7266236),1,2025-03-10
81,310, P1464-M2015-00.stp,S02707(7267848),2,2025-03-10
82,311, P1464-M2016-00.stp,S02707(7268468),2,2025-03-10
83,312, P1464-M2017-00.stp,S02707(7269980),1,2025-03-10
84,313, P1464-M2018-00.stp,S02707(7270733),1,2025-03-10
85,3, bracket,S02703(BD50-5085-007-C),24,2025-04-04
86,4, bracket,S02701(BD50-5085-009-C),24,2025-04-04
87,16, Filling block,S02689(00385-00-274-D),200,2025-04-04
88,18, Plint fixing strip left,S02689(00385-00-321-A),100,2025-04-22
89,20, Plint fixing strip right,S02689(00385-00-346-A),100,2025-04-16
90,288, Single Rail / IGUS / WSQ-06S,S02666(7005-2580-0005),45,2025-03-26
91,344, GP Z-Adjustment Lever / 26241001,S02666(7005-2580-0006),3,2025-03-26
92,298, Hinge block rm2,S02680(4022-631-80951),10,2025-04-04
93,354, leaf spring middle interface,S02644(00528-02720-A),1,2025-03-28
94,353, hoisting bridge,S02644(00528-02746-A),1,2025-03-28
95,156, Carriage,S02617(GF3116T006L),20,2025-04-09
96,14, Height bearing clamp plate,S02615(00385-00-102-C),150,2025-04-04
97,17, Plint adjust strip,S02615(00385-00-320-A),150,2025-04-02
98,18, Plint fixing strip left,S02615(00385-00-321-A),100,2025-04-02
99,20, Plint fixing strip right,S02615(00385-00-346-A),100,2025-04-02
100,79, Hinge Block LM2,S02615(4022-631-89301),53,2025-04-01
101,114, LSPH coverplate stud block,S02586(4022-666-65702(R1)),75,2025-04-14
102,145, Anschlag,S02584(4512-127-05186B),500,2025-05-30
103,163, nul-graden arretsegment,S02582(M0216-01-363-B),25,2025-04-23
104,345, Support block / 07201506,S02580(7005-2580-0007),32,2025-03-20
105,344, GP Z-Adjustment Lever / 26241001,S02560(7005-2580-0006),24,2025-04-01
106,151, ENDPLATE,S02558(4598-011-70891B),100,2025-04-21
107,267, Koppelstrip bovenligger iGate,S02548(M.P04743),301,2025-02-04
108,46, BRIL,S02525(4022-333-19505),100,2025-04-04
109,300, RH NXE RED RZ ENC PLATE SPPRT,S02461(4022.683.44771),1,2025-02-18
110,279, RH RED FRAME -X COVER,S02461(4022.622.61941),1,2025-02-18
111,337, RH RED RZ STOP RIGHT MOUNT,S02461(4022.684.31741),1,2025-02-18
112,275, RH RED TURRET ELEC COVER C,S02461(4022.684.31572),1,2025-02-18
113,280, RH RED EBOX MONO,S02461(4022.622.61761),1,2025-02-18
115,270, METROFRAME BODY V02-00-B / 0119073001 ,S02403(7005-2480-0090),4,2025-05-30
115,167, RH RED DYNAMIC STRAIN RELIEF B ,S02029(4022.684.32042),31,2025-05-31
